≡  wrist  |rɪst|  — запястье, цапфа, наручный
≡  wrap  |ræp|  — обертка, шаль, плед, платок, одеяло, упаковывать, обертывать, заворачивать
≡  wound  |wuːnd|  — рана, ранение, обида, ущерб, оскорбление, ранить, поранить, причинять боль
≡  workshop  |ˈwɜːrkʃɑːp|  — семинар, мастерская, цех, симпозиум, секция, цеховой
≡  workplace  |ˈwɜːrkpleɪs|  — производственное помещение, рабочее место, место работы, планировка рабочих мест
≡  workforce  |ˈwɜːrkfɔːrs|  — трудовые ресурсы
≡  withdraw  |wɪðˈdrɔː|  — изымать, отзывать, уходить, забирать, увести, удаляться, отводить, ретироваться
≡  wire  |ˈwaɪər|  — провод, проволока, проволочный, телеграфировать
≡  willing  |ˈwɪlɪŋ|  — готовый, добровольный, старательный, охотно делающий что-л.
≡  wildlife  |ˈwaɪldlaɪf|  — живая природа
≡  widespread  |ˈwaɪdspred|  — широко распространенный
≡  whoever  |huːˈevər|  — кто бы ни, который бы ни
≡  whisper  |ˈwɪspər|  — шепот, слушок, шорох, шуршание, слух, молва, шептать, шептаться, прошептать
≡  wherever  |werˈevər|  — где, куда, где бы ни, куда бы ни
≡  wheat  |wiːt|  — пшеница
≡  welfare  |ˈwelfer|  — благосостояние, благоденствие, благотворительность
≡  wage  |weɪdʒ|  — вести, бороться, заработная плата
