≡  questionnaire  |ˌkwestʃəˈner|  — вопросник, анкета
≡  pursue  |pərˈsuː|  — преследовать, продолжать, заниматься, гнаться за
≡  pure  |pjʊr|  — чистый, чистейший, простой, безупречный, чистокровный, непорочный, беспримесный
≡  purchase  |ˈpɜːrtʃəs|  — покупка, приобретение, закупка, стоимость, покупать, приобретать, закупать
≡  punk  |pʌŋk|  — панк, сопляк, молокосос, плохой, никудышный, дрянной, ввысь
≡  publicity  |pʌbˈlɪsətɪ|  — реклама, гласность, публичность, огласка, паблисити, рекламирование
≡  psychologist  |saɪˈkɑːlədʒɪst|  — психолог
≡  psychological  |ˌsaɪkəˈlɑːdʒɪkl|  — психологический
≡  protester  |prəˈtestər|  — протестующий, опротестователь
≡  protection  |prəˈtekʃn|  — защита, охрана, покровительство, ограждение, протекционизм, прикрытие, блат
≡  prospect  |ˈprɑːspekt|  — перспектива, разведка, исследовать, разведывать, ожидаемый
≡  propose  |prəˈpəʊz|  — предлагать, выдвинуть, выдвигать, представлять, предполагать
≡  proposal  |prəˈpəʊzl|  — предложение, заявка, план
≡  proportion  |prəˈpɔːrʃn|  — доля, часть, пропорция, пропорциональный, соразмерять, распределять
≡  proof  |pruːf|  — доказательство, устойчивый, непроницаемый, делать непроницаемым
≡  prompt  |prɑːmpt|  — быстрый, подсказывать, быстро, точно, ровно, подсказка
≡  promotion  |prəˈməʊʃn|  — продвижение, поощрение, содействие, стимулирование, продвижение по службе
≡  promising  |ˈprɑːmɪsɪŋ|  — многообещающий, подающий надежды
≡  progressive  |prəˈɡresɪv|  — прогрессивный, постепенный, прогрессивный деятель
≡  produce  |prəˈduːs|  — продукция, продукт, изделия, результат, производить, выпускать, создавать
≡  proceed  |prəʊˈsiːd|  — продолжать, действовать, исходить, переходить, происходить, приступать, поступать
≡  procedure  |prəˈsiːdʒər|  — процедура, операция, технологический процесс, методика проведения
≡  probable  |ˈprɑːbəbl|  — вероятный, возможный, предполагаемый, вероятный выбор, возможный кандидат
≡  probability  |ˌprɑːbəˈbɪlətɪ|  — вероятность, правдоподобие
≡  privacy  |ˈpraɪvəsɪ|  — частная жизнь, уединение, уединенность, секретность, тайна
≡  priority  |praɪˈɔːrətɪ|  — приоритет, очередность, порядок очередности, порядок срочности, старшинство
≡  prior  |ˈpraɪər|  — предшествующий, прежний, настоятель, приор
≡  principal  |ˈprɪnsəpl|  — основной, главный, ведущий, принципал, директор школы, глава
≡  principle  |ˈprɪnsəpl|  — принцип, правило, закон, элемент, причина, источник, принцип устройства
≡  prime  |praɪm|  — простое число, начало, грунтовать, заправлять, основной, главный
≡  primarily  |praɪˈmerəlɪ|  — в первую очередь, прежде всего, главным образом, первоначально, сначала
≡  pride  |praɪd|  — гордость, гордыня, чувство гордости, гордиться
≡  preserve  |prɪˈzɜːrv|  — заповедник, варенье, сохранять, хранить, впрок
≡  presence  |ˈprezns|  — присутствие, наличие, явка, общество, внешний вид, осанка, соседство
≡  preparation  |ˌprepəˈreɪʃn|  — подготовка, препарат, приготовление, обогащение, лекарство, подготавливание
≡  pregnant  |ˈpreɡnənt|  — беременная, богатый, чреватый, содержательный, полный смысла, полный значения
≡  preference  |ˈprefrəns|  — предпочтение, преферанс, преференция, привилегированный
≡  predictable  |prɪˈdɪktəbl|  — предсказуемый
≡  precise  |prɪˈsaɪs|  — точный, четкий, определенный, тщательный, уточнять
≡  precede  |prɪˈsiːd|  — предшествовать, превосходить, предпосылать, быть впереди
≡  praise  |preɪz|  — хвала, похвала, восхваление, хвалить, восхвалять, превозносить
≡  potential  |pəˈtenʃl|  — потенциал, возможность, напряжение, потенциальный, возможный
≡  possess  |pəˈzes|  — обладать, владеть, овладевать, захватывать, сохранять, удерживать
≡  pose  |pəʊz|  — поза, позировать, излагать, формулировать
≡  portion  |ˈpɔːrʃn|  — часть, порция, доля, удел, участь, приданое, делить на части, давать приданое
≡  popularity  |ˌpɑːpjʊˈlærətɪ|  — популярность
≡  pointed  |ˈpɔɪntɪd|  — заостренный, острый, остроконечный, подчеркнутый, критический, наведенный, колкий
≡  placement  |ˈpleɪsmənt|  — размещение, помещение, трудоустройство, определение на должность
≡  pity  |ˈpɪtɪ|  — жалость, сожаление, сострадание, жалеть, соболезновать
≡  pitch  |pɪtʃ|  — высота, смола, питч, подача, пек, наклон, уклон, смолить, бросать, подавать, кидать, ставить
≡  pill  |pɪl|  — таблетка, пилюля, шарик, грабить, давать пилюли, забаллотировать
≡  pile  |paɪl|  — куча, свая, груда, стопка, ворс, штабель, ворох, нагружать, заваливать, навалить
≡  phenomenon  |fəˈnɑːmɪnən|  — явление, феномен, необыкновенное явление, объект чувственного восприятия
≡  perspective  |pərˈspektɪv|  — перспектива, вид, виды на будущее, перспективный
≡  permanent  |ˈpɜːrmənənt|  — постоянный, перманентный, бессменный, неизменный, долговременный, необратимый
≡  perception  |pərˈsepʃn|  — восприятие, ощущение, понимание, осознание, перцепция, сбор, завладение, получение
≡  perceive  |pərˈsiːv|  — воспринимать, чувствовать, ощущать, понимать, осознавать, постигать, усмотреть
≡  penalty  |ˈpenəltɪ|  — штраф, пенальти, наказание, взыскание, расплата
≡  peer  |pɪr|  — равный, пэр, ровня, лорд, всматриваться
≡  patience  |ˈpeɪʃns|  — терпение, терпеливость, пасьянс, настойчивость
≡  passage  |ˈpæsɪdʒ|  — проход, прохождение, пассаж, проезд, пересекать, совершать переезд
≡  partnership  |ˈpɑːrtnərʃɪp|  — сотрудничество, товарищество, компания, участие, компаньоны
≡  participation  |pɑːrˌtɪsɪˈpeɪʃn|  — участие, соучастие
≡  participant  |pɑːrˈtɪsɪpənt|  — участник, участвующий
≡  part-time  |ˈpɑrtˈtɑɪm|  — неполный рабочий день, не полностью занятый, внештатный
≡  parade  |pəˈreɪd|  — парад, плац, показ, построение, процессия, выставлять напоказ, шествовать
≡  palm  |pɑːm|  — ладонь, пальма, пальмовое дерево, гладить, прятать в руке, подкупать
≡  packet  |ˈpækɪt|  — пакет, пачка, пакетбот, куш, группа, связка, заворачивать в пакет
